(pytorch_p36) ubuntu@ip-172-30-0-91:~/P1_Facial_Keypoints-master$ python train.py 
Net(
  (conv1): Conv2d(1, 32, kernel_size=(5, 5), stride=(1, 1))
  (conv1_bn): BatchNorm2d(32, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
  (conv1_drop): Dropout2d(p=0.1)
  (conv2): Conv2d(32, 48, kernel_size=(5, 5), stride=(1, 1))
  (conv2_bn): BatchNorm2d(48, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
  (conv2_drop): Dropout2d(p=0.1)
  (conv3): Conv2d(48, 64, kernel_size=(5, 5), stride=(1, 1))
  (conv3_bn): BatchNorm2d(64, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
  (conv3_drop): Dropout2d(p=0.2)
  (conv4): Conv2d(64, 96, kernel_size=(5, 5), stride=(1, 1))
  (conv4_bn): BatchNorm2d(96, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
  (conv4_drop): Dropout2d(p=0.2)
  (fc1): Linear(in_features=9600, out_features=2400, bias=True)
  (fc1_bn): BatchNorm1d(2400, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
  (fc1_drop): Dropout(p=0.2)
  (fc2): Linear(in_features=2400, out_features=612, bias=True)
  (fc2_bn): BatchNorm1d(612, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
  (fc2_drop): Dropout(p=0.4)
  (fc3): Linear(in_features=612, out_features=136, bias=True)
)

Number of images:  3462
0 torch.Size([1, 224, 224]) torch.Size([68, 2])
1 torch.Size([1, 224, 224]) torch.Size([68, 2])
2 torch.Size([1, 224, 224]) torch.Size([68, 2])
3 torch.Size([1, 224, 224]) torch.Size([68, 2])
torch.Size([32, 1, 224, 224])
torch.Size([32, 68, 2])
torch.Size([32, 68, 2])
Epoch: 1, Batch: 10, Avg. Loss: 0.007350987374782562
Epoch: 1, Batch: 20, Avg. Loss: 0.006762167692184448
Epoch: 1, Batch: 30, Avg. Loss: 0.006753124356269837
Epoch: 1, Batch: 40, Avg. Loss: 0.005900341868400574
Epoch: 1, Batch: 50, Avg. Loss: 0.006018130719661713
Epoch: 1, Batch: 60, Avg. Loss: 0.005665582239627838
Epoch: 1, Batch: 70, Avg. Loss: 0.00549949049949646
Epoch: 1, Batch: 80, Avg. Loss: 0.0045369816422462465
Epoch: 1, Batch: 90, Avg. Loss: 0.0046313565969467166
Epoch: 1, Batch: 100, Avg. Loss: 0.004353085666894913
Epoch: 2, Batch: 10, Avg. Loss: 0.003868272989988327
Epoch: 2, Batch: 20, Avg. Loss: 0.003624659776687622
Epoch: 2, Batch: 30, Avg. Loss: 0.003763985574245453
Epoch: 2, Batch: 40, Avg. Loss: 0.003721093326807022
Epoch: 2, Batch: 50, Avg. Loss: 0.0037912601828575133
Epoch: 2, Batch: 60, Avg. Loss: 0.0034309750199317934
Epoch: 2, Batch: 70, Avg. Loss: 0.003292425066232681
Epoch: 2, Batch: 80, Avg. Loss: 0.00300435546040535
Epoch: 2, Batch: 90, Avg. Loss: 0.0032722890973091124
Epoch: 2, Batch: 100, Avg. Loss: 0.002885824427008629
Epoch: 3, Batch: 10, Avg. Loss: 0.0030175136923789978
Epoch: 3, Batch: 20, Avg. Loss: 0.003548945814371109
Epoch: 3, Batch: 30, Avg. Loss: 0.0025896436721086504
Epoch: 3, Batch: 40, Avg. Loss: 0.0027796773463487625
Epoch: 3, Batch: 50, Avg. Loss: 0.002713935539126396
Epoch: 3, Batch: 60, Avg. Loss: 0.0026832262575626374
Epoch: 3, Batch: 70, Avg. Loss: 0.0027649843841791154
Epoch: 3, Batch: 80, Avg. Loss: 0.002395166367292404
Epoch: 3, Batch: 90, Avg. Loss: 0.0026860154569149017
Epoch: 3, Batch: 100, Avg. Loss: 0.0026264996528625488
Epoch: 4, Batch: 10, Avg. Loss: 0.002532787576317787
Epoch: 4, Batch: 20, Avg. Loss: 0.0023053622990846633
Epoch: 4, Batch: 30, Avg. Loss: 0.002475556641817093
Epoch: 4, Batch: 40, Avg. Loss: 0.002229329451918602
Epoch: 4, Batch: 50, Avg. Loss: 0.0023238024562597273
Epoch: 4, Batch: 60, Avg. Loss: 0.0022401567697525023
Epoch: 4, Batch: 70, Avg. Loss: 0.0023489903807640076
Epoch: 4, Batch: 80, Avg. Loss: 0.0022235524654388426
Epoch: 4, Batch: 90, Avg. Loss: 0.0022545536905527117
Epoch: 4, Batch: 100, Avg. Loss: 0.002643045663833618
Epoch: 5, Batch: 10, Avg. Loss: 0.0020980573147535322
Epoch: 5, Batch: 20, Avg. Loss: 0.002222332924604416
Epoch: 5, Batch: 30, Avg. Loss: 0.0021363496482372283
Epoch: 5, Batch: 40, Avg. Loss: 0.0022324606776237487
Epoch: 5, Batch: 50, Avg. Loss: 0.002231565073132515
Epoch: 5, Batch: 60, Avg. Loss: 0.0020145776718854904
Epoch: 5, Batch: 70, Avg. Loss: 0.0019005020856857299
Epoch: 5, Batch: 80, Avg. Loss: 0.002029563203454018
Epoch: 5, Batch: 90, Avg. Loss: 0.0020649794936180117
Epoch: 5, Batch: 100, Avg. Loss: 0.002735191360116005
Epoch: 6, Batch: 10, Avg. Loss: 0.0020349816679954527
Epoch: 6, Batch: 20, Avg. Loss: 0.0018858600556850434
Epoch: 6, Batch: 30, Avg. Loss: 0.001971121937036514
Epoch: 6, Batch: 40, Avg. Loss: 0.0018534726202487945
Epoch: 6, Batch: 50, Avg. Loss: 0.0020264603644609453
Epoch: 6, Batch: 60, Avg. Loss: 0.0018958200067281724
Epoch: 6, Batch: 70, Avg. Loss: 0.001836706653237343
Epoch: 6, Batch: 80, Avg. Loss: 0.0019489286094903945
Epoch: 6, Batch: 90, Avg. Loss: 0.0021150829493999483
Epoch: 6, Batch: 100, Avg. Loss: 0.0020942925959825517
Epoch: 7, Batch: 10, Avg. Loss: 0.001944830432534218
Epoch: 7, Batch: 20, Avg. Loss: 0.0019173283576965332
Epoch: 7, Batch: 30, Avg. Loss: 0.002152874693274498
Epoch: 7, Batch: 40, Avg. Loss: 0.001737877979874611
Epoch: 7, Batch: 50, Avg. Loss: 0.001775922805070877
Epoch: 7, Batch: 60, Avg. Loss: 0.002522580087184906
Epoch: 7, Batch: 70, Avg. Loss: 0.001753048062324524
Epoch: 7, Batch: 80, Avg. Loss: 0.0017488580793142319
Epoch: 7, Batch: 90, Avg. Loss: 0.0017751098871231078
Epoch: 7, Batch: 100, Avg. Loss: 0.0017717042863368989
Epoch: 8, Batch: 10, Avg. Loss: 0.0017996983528137207
Epoch: 8, Batch: 20, Avg. Loss: 0.002023355007171631
Epoch: 8, Batch: 30, Avg. Loss: 0.0017569293528795242
Epoch: 8, Batch: 40, Avg. Loss: 0.0018507722169160844
Epoch: 8, Batch: 50, Avg. Loss: 0.00176006680727005
Epoch: 8, Batch: 60, Avg. Loss: 0.0014673401564359665
Epoch: 8, Batch: 70, Avg. Loss: 0.0017091284692287445
Epoch: 8, Batch: 80, Avg. Loss: 0.0016615256816148757
Epoch: 8, Batch: 90, Avg. Loss: 0.0018328381478786469
Epoch: 8, Batch: 100, Avg. Loss: 0.002369585856795311
Epoch: 9, Batch: 10, Avg. Loss: 0.0017097267657518386
Epoch: 9, Batch: 20, Avg. Loss: 0.0017545422464609146
Epoch: 9, Batch: 30, Avg. Loss: 0.0016863303035497665
Epoch: 9, Batch: 40, Avg. Loss: 0.0018476689010858535
Epoch: 9, Batch: 50, Avg. Loss: 0.0016604861319065094
Epoch: 9, Batch: 60, Avg. Loss: 0.0014242658093571662
Epoch: 9, Batch: 70, Avg. Loss: 0.0019907802790403366
Epoch: 9, Batch: 80, Avg. Loss: 0.0018466869443655013
Epoch: 9, Batch: 90, Avg. Loss: 0.0016058110520243644
Epoch: 9, Batch: 100, Avg. Loss: 0.0020185244381427767
Epoch: 10, Batch: 10, Avg. Loss: 0.0014577945843338967
Epoch: 10, Batch: 20, Avg. Loss: 0.0017367395609617234
Epoch: 10, Batch: 30, Avg. Loss: 0.001821676455438137
Epoch: 10, Batch: 40, Avg. Loss: 0.0014286450371146203
Epoch: 10, Batch: 50, Avg. Loss: 0.001618627555668354
Epoch: 10, Batch: 60, Avg. Loss: 0.00165378887206316
Epoch: 10, Batch: 70, Avg. Loss: 0.001744583286345005
Epoch: 10, Batch: 80, Avg. Loss: 0.0016683682426810265
Epoch: 10, Batch: 90, Avg. Loss: 0.0014756309986114502
Epoch: 10, Batch: 100, Avg. Loss: 0.0015142844095826149
Epoch: 11, Batch: 10, Avg. Loss: 0.0019383225440979003
Epoch: 11, Batch: 20, Avg. Loss: 0.0016411847770214081
Epoch: 11, Batch: 30, Avg. Loss: 0.0015911076143383979
Epoch: 11, Batch: 40, Avg. Loss: 0.0013504514619708061
Epoch: 11, Batch: 50, Avg. Loss: 0.0013083897978067398
Epoch: 11, Batch: 60, Avg. Loss: 0.0019022523313760758
Epoch: 11, Batch: 70, Avg. Loss: 0.0014000238254666328
Epoch: 11, Batch: 80, Avg. Loss: 0.0014267468452453613
Epoch: 11, Batch: 90, Avg. Loss: 0.001349792204797268
Epoch: 11, Batch: 100, Avg. Loss: 0.0015562790259718894
Epoch: 12, Batch: 10, Avg. Loss: 0.0014648182317614556
Epoch: 12, Batch: 20, Avg. Loss: 0.0018516365066170693
Epoch: 12, Batch: 30, Avg. Loss: 0.0016366365849971771
Epoch: 12, Batch: 40, Avg. Loss: 0.0013743528798222542
Epoch: 12, Batch: 50, Avg. Loss: 0.001839774303138256
Epoch: 12, Batch: 60, Avg. Loss: 0.0015257769525051116
Epoch: 12, Batch: 70, Avg. Loss: 0.0014523265436291696
Epoch: 12, Batch: 80, Avg. Loss: 0.001332045003771782
Epoch: 12, Batch: 90, Avg. Loss: 0.0018229793310165405
Epoch: 12, Batch: 100, Avg. Loss: 0.0013808635100722314
Epoch: 13, Batch: 10, Avg. Loss: 0.0022899163886904716
Epoch: 13, Batch: 20, Avg. Loss: 0.0015568882524967193
